เดือน,ยี่ห้อ,แบบรถ,รุ่นย่อย,ประเภท,จำนวน
2023-10,Ford,Ranger,3.0 Raptor Double Cab,RY3,1960
2023-11,Ford,Ranger,,RY3,4075
2023-12,Ford,Ranger,,RY3,3697
2024-01,Ford,Ranger,2.0 XL Single Cab,RY3,3077
2024-02,Ford,Ranger,,RY3,3634
2024-03,Ford,Ranger,,RY3,3187
2024-04,Ford,Ranger,,RY3,2714
2024-05,Ford,Ranger,,RY3,3390
2024-06,Ford,Ranger,,RY3,3084
2024-07,Ford,Ranger,3.0 Raptor Double Cab,RY3,4241
2024-08,Ford,Ranger,,RY3,4402
2024-09,Ford,Ranger,2.0 XL Single Cab,RY3,5336
2024-10,Ford,Ranger,,RY3,3564
2024-11,Ford,Ranger,,RY3,3053
2024-12,Ford,Ranger,2.0 Wildtrak 4x4 Double Cab,RY3,4524
2025-01,Ford,Ranger,,RY3,3184
2025-02,Ford,Ranger,2.0 Wildtrak 4x4 Double Cab,RY3,4727
2025-03,Ford,Ranger,,RY3,3473
2025-04,Ford,Ranger,2.0 Wildtrak 4x4 Double Cab,RY3,3104
2025-05,Ford,Ranger,,RY3,3215
2025-06,Ford,Ranger,2.0 XL Single Cab,RY3,5042
2025-07,Ford,Ranger,,RY3,4310
2025-08,Ford,Ranger,,RY3,2793
2025-09,Ford,Ranger,,RY3,3276
2025-10,Ford,Ranger,,RY3,4556
2025-11,Ford,Ranger,,RY3,5202
2025-12,Ford,Ranger,2.0 XL Single Cab,RY3,5212
2023-01,Ford,Everest,,RY1,416
2023-02,Ford,Everest,2.0 Platinum 4x4,RY1,448
2023-03,Ford,Everest,2.0 Platinum 4x4,RY1,554
2023-04,Ford,Everest,2.0 Platinum 4x4,RY1,616
2023-05,Ford,Everest,,RY1,301
2023-06,Ford,Everest,,RY1,204
2023-07,Ford,Everest,,RY1,368
2023-08,Ford,Everest,2.0 Platinum 4x4,RY1,152
2023-09,Ford,Everest,,RY1,375
2023-10,Ford,Everest,2.0 Titanium+ 4x2,RY1,414
2023-11,Ford,Everest,2.0 Titanium+ 4x2,RY1,536
2023-12,Ford,Everest,,RY1,469
2024-01,Ford,Everest,,RY1,358
2024-02,Ford,Everest,,RY1,281
2024-03,Ford,Everest,,RY1,382
2024-04,Ford,Everest,,RY1,201
2024-05,Ford,Everest,,RY1,298
2024-06,Ford,Everest,2.0 Platinum 4x4,RY1,438
2024-07,Ford,Everest,2.0 Platinum 4x4,RY1,656
2024-08,Ford,Everest,2.0 Titanium+ 4x2,RY1,253
2024-09,Ford,Everest,2.0 Titanium+ 4x2,RY1,647
2024-10,Ford,Everest,2.0 Platinum 4x4,RY1,369
2024-11,Ford,Everest,2.0 Titanium+ 4x2,RY1,453
2024-12,Ford,Everest,,RY1,380
2025-01,Ford,Everest,2.0 Titanium+ 4x2,RY1,434
2025-02,Ford,Everest,,RY1,155
2025-03,Ford,Everest,2.0 Platinum 4x4,RY1,533
2025-04,Ford,Everest,,RY1,228
2025-05,Ford,Everest,,RY1,389
2025-06,Ford,Everest,,RY1,417
2025-07,Ford,Everest,2.0 Titanium+ 4x2,RY1,222
2025-08,Ford,Everest,2.0 Titanium+ 4x2,RY1,342
2025-09,Ford,Everest,,RY1,215
2025-10,Ford,Everest,,RY1,292
2025-11,Ford,Everest,,RY1,611
2025-12,Ford,Everest,,RY1,452
2024-01,Ford,Mustang,,RY1,543
2024-02,Ford,Mustang,,RY1,323
2024-03,Ford,Mustang,,RY1,373
2024-04,Ford,Mustang,,RY1,308
2024-05,Ford,Mustang,,RY1,340
2024-06,Ford,Mustang,,RY1,561
2024-07,Ford,Mustang,5.0 GT,RY1,221
2024-08,Ford,Mustang,5.0 GT,RY1,141
2024-09,Ford,Mustang,5.0 GT,RY1,489
2024-10,Ford,Mustang,5.0 GT,RY1,387
2024-11,Ford,Mustang,,RY1,91
2024-12,Ford,Mustang,,RY1,448
2025-01,Ford,Mustang,5.0 GT,RY1,570
2025-02,Ford,Mustang,5.0 GT,RY1,434
2025-03,Ford,Mustang,5.0 GT,RY1,334
2025-04,Ford,Mustang,,RY1,500
2025-05,Ford,Mustang,5.0 GT,RY1,329
2025-06,Ford,Mustang,5.0 GT,RY1,167
2025-07,Ford,Mustang,,RY1,508
2025-08,Ford,Mustang,5.0 GT,RY1,351
2025-09,Ford,Mustang,,RY1,302
2025-10,Ford,Mustang,5.0 GT,RY1,438
2025-11,Ford,Mustang,,RY1,178
2025-12,Ford,Mustang,,RY1,293
2023-01,GWM,Haval H6,,RY1,375
2023-02,GWM,Haval H6,HEV Ultra,RY1,362
2023-03,GWM,Haval H6,,RY1,337
2023-04,GWM,Haval H6,,RY1,402
2023-05,GWM,Haval H6,,RY1,307
2023-06,GWM,Haval H6,PHEV Ultra,RY1,443
2023-07,GWM,Haval H6,PHEV Ultra,RY1,227
2023-08,GWM,Haval H6,,RY1,228
2023-09,GWM,Haval H6,,RY1,313
2023-10,GWM,Haval H6,HEV Ultra,RY1,474
2023-11,GWM,Haval H6,,RY1,387
2023-12,GWM,Haval H6,,RY1,398
2024-01,GWM,Haval H6,PHEV Ultra,RY1,64
2024-02,GWM,Haval H6,PHEV Ultra,RY1,336
2024-03,GWM,Haval H6,PHEV Ultra,RY1,338
2024-04,GWM,Haval H6,,RY1,240
2024-05,GWM,Haval H6,PHEV Ultra,RY1,439
2024-06,GWM,Haval H6,PHEV Ultra,RY1,476
2024-07,GWM,Haval H6,HEV Ultra,RY1,405
2024-08,GWM,Haval H6,,RY1,530
2024-09,GWM,Haval H6,,RY1,461
2024-10,GWM,Haval H6,,RY1,340
2024-11,GWM,Haval H6,,RY1,443
2024-12,GWM,Haval H6,,RY1,335
2025-01,GWM,Haval H6,PHEV Ultra,RY1,182
2025-02,GWM,Haval H6,PHEV Ultra,RY1,219
2025-03,GWM,Haval H6,,RY1,354
2025-04,GWM,Haval H6,PHEV Ultra,RY1,357
2025-05,GWM,Haval H6,,RY1,310
2025-06,GWM,Haval H6,,RY1,311
2025-07,GWM,Haval H6,,RY1,211
2025-08,GWM,Haval H6,,RY1,460
2025-09,GWM,Haval H6,HEV Ultra,RY1,345
2025-10,GWM,Haval H6,HEV Ultra,RY1,97
2025-11,GWM,Haval H6,PHEV Ultra,RY1,332
2025-12,GWM,Haval H6,,RY1,361
2023-01,GWM,Haval Jolion,HEV Ultra,RY1,253
2023-02,GWM,Haval Jolion,HEV Ultra,RY1,460
2023-03,GWM,Haval Jolion,,RY1,657
2023-04,GWM,Haval Jolion,HEV Ultra,RY1,564
2023-05,GWM,Haval Jolion,HEV Ultra,RY1,356
2023-06,GWM,Haval Jolion,HEV Ultra,RY1,687
2023-07,GWM,Haval Jolion,,RY1,764
2023-08,GWM,Haval Jolion,HEV Ultra,RY1,468
2023-09,GWM,Haval Jolion,HEV Ultra,RY1,816
2023-10,GWM,Haval Jolion,,RY1,501
2023-11,GWM,Haval Jolion,HEV Ultra,RY1,526
2023-12,GWM,Haval Jolion,,RY1,684
2024-01,GWM,Haval Jolion,HEV Ultra,RY1,798
2024-02,GWM,Haval Jolion,,RY1,687
2024-03,GWM,Haval Jolion,HEV Ultra,RY1,605
2024-04,GWM,Haval Jolion,,RY1,737
2024-05,GWM,Haval Jolion,,RY1,531
2024-06,GWM,Haval Jolion,,RY1,503
2024-07,GWM,Haval Jolion,,RY1,342
2024-08,GWM,Haval Jolion,HEV Ultra,RY1,674
2024-09,GWM,Haval Jolion,,RY1,311
2024-10,GWM,Haval Jolion,,RY1,499
2024-11,GWM,Haval Jolion,,RY1,352
2024-12,GWM,Haval Jolion,HEV Ultra,RY1,705
2025-01,GWM,Haval Jolion,HEV Ultra,RY1,666
2025-02,GWM,Haval Jolion,,RY1,638
2025-03,GWM,Haval Jolion,,RY1,690
2025-04,GWM,Haval Jolion,HEV Ultra,RY1,457
2025-05,GWM,Haval Jolion,,RY1,607
2025-06,GWM,Haval Jolion,HEV Ultra,RY1,587
2025-07,GWM,Haval Jolion,,RY1,569
2025-08,GWM,Haval Jolion,HEV Ultra,RY1,724
2025-09,GWM,Haval Jolion,,RY1,453
2025-10,GWM,Haval Jolion,HEV Ultra,RY1,785
2025-11,GWM,Haval Jolion,HEV Ultra,RY1,566
2025-12,GWM,Haval Jolion,HEV Ultra,RY1,454
2023-01,GWM,Ora Good Cat,500 Ultra,RY1,919
2023-02,GWM,Ora Good Cat,,RY1,557
2023-03,GWM,Ora Good Cat,,RY1,429
2023-04,GWM,Ora Good Cat,,RY1,592
2023-05,GWM,Ora Good Cat,500 Ultra,RY1,778
2023-06,GWM,Ora Good Cat,,RY1,455
2023-07,GWM,Ora Good Cat,,RY1,452
2023-08,GWM,Ora Good Cat,,RY1,779
2023-09,GWM,Ora Good Cat,500 Ultra,RY1,603
2023-10,GWM,Ora Good Cat,500 Ultra,RY1,400
2023-11,GWM,Ora Good Cat,500 Ultra,RY1,505
2023-12,GWM,Ora Good Cat,,RY1,720
2024-01,GWM,Ora Good Cat,,RY1,559
2024-02,GWM,Ora Good Cat,,RY1,719
2024-03,GWM,Ora Good Cat,500 Ultra,RY1,599
2024-04,GWM,Ora Good Cat,,RY1,289
2024-05,GWM,Ora Good Cat,,RY1,437
2024-06,GWM,Ora Good Cat,500 Ultra,RY1,661
2024-07,GWM,Ora Good Cat,,RY1,731
2024-08,GWM,Ora Good Cat,,RY1,880
2024-09,GWM,Ora Good Cat,,RY1,708
2024-10,GWM,Ora Good Cat,,RY1,538
2024-11,GWM,Ora Good Cat,,RY1,503
2024-12,GWM,Ora Good Cat,,RY1,829
2025-01,GWM,Ora Good Cat,,RY1,541
2025-02,GWM,Ora Good Cat,,RY1,729
2025-03,GWM,Ora Good Cat,500 Ultra,RY1,645
2025-04,GWM,Ora Good Cat,,RY1,793
2025-05,GWM,Ora Good Cat,,RY1,944
2025-06,GWM,Ora Good Cat,500 Ultra,RY1,586
2025-07,GWM,Ora Good Cat,,RY1,520
2025-08,GWM,Ora Good Cat,500 Ultra,RY1,664
2025-09,GWM,Ora Good Cat,,RY1,1136
2025-10,GWM,Ora Good Cat,,RY1,584
2025-11,GWM,Ora Good Cat,,RY1,983
2025-12,GWM,Ora Good Cat,500 Ultra,RY1,502
2024-01,GWM,Ora 03,500 Ultra,RY1,499
2024-02,GWM,Ora 03,500 Ultra,RY1,230
2024-03,GWM,Ora 03,,RY1,581
2024-04,GWM,Ora 03,,RY1,100
2024-05,GWM,Ora 03,,RY1,604
2024-06,GWM,Ora 03,,RY1,562
2024-07,GWM,Ora 03,,RY1,466
2024-08,GWM,Ora 03,,RY1,591
2024-09,GWM,Ora 03,,RY1,548
2024-10,GWM,Ora 03,500 Ultra,RY1,429
2024-11,GWM,Ora 03,,RY1,545
2024-12,GWM,Ora 03,,RY1,403
2025-01,GWM,Ora 03,500 Ultra,RY1,532
2025-02,GWM,Ora 03,,RY1,533
2025-03,GWM,Ora 03,,RY1,426
2025-04,GWM,Ora 03,,RY1,842
2025-05,GWM,Ora 03,,RY1,607
2025-06,GWM,Ora 03,500 Ultra,RY1,226
2025-07,GWM,Ora 03,,RY1,397
2025-08,GWM,Ora 03,500 Ultra,RY1,366
2025-09,GWM,Ora 03,500 Ultra,RY1,232
2025-10,GWM,Ora 03,,RY1,372
2025-11,GWM,Ora 03,,RY1,475
2025-12,GWM,Ora 03,500 Ultra,RY1,142
2023-03,GWM,Tank 300,,RY1,394
2023-04,GWM,Tank 300,HEV Ultra 4WD,RY1,269
2023-05,GWM,Tank 300,HEV Ultra 4WD,RY1,427
2023-06,GWM,Tank 300,,RY1,397
2023-07,GWM,Tank 300,HEV Ultra 4WD,RY1,456
2023-08,GWM,Tank 300,,RY1,209
2023-09,GWM,Tank 300,,RY1,385
2023-10,GWM,Tank 300,,RY1,259
2023-11,GWM,Tank 300,,RY1,415
2023-12,GWM,Tank 300,HEV Ultra 4WD,RY1,190
2024-01,GWM,Tank 300,,RY1,486
2024-02,GWM,Tank 300,HEV Ultra 4WD,RY1,287
2024-03,GWM,Tank 300,,RY1,378
2024-04,GWM,Tank 300,,RY1,516
2024-05,GWM,Tank 300,HEV Ultra 4WD,RY1,224
2024-06,GWM,Tank 300,,RY1,413
2024-07,GWM,Tank 300,,RY1,366
2024-08,GWM,Tank 300,,RY1,280
2024-09,GWM,Tank 300,HEV Ultra 4WD,RY1,308
2024-10,GWM,Tank 300,,RY1,212
2024-11,GWM,Tank 300,HEV Ultra 4WD,RY1,258
2024-12,GWM,Tank 300,HEV Ultra 4WD,RY1,530
2025-01,GWM,Tank 300,HEV Ultra 4WD,RY1,345
2025-02,GWM,Tank 300,,RY1,266
2025-03,GWM,Tank 300,,RY1,159
2025-04,GWM,Tank 300,,RY1,496
2025-05,GWM,Tank 300,,RY1,524
2025-06,GWM,Tank 300,,RY1,472
2025-07,GWM,Tank 300,,RY1,293
2025-08,GWM,Tank 300,HEV Ultra 4WD,RY1,445
2025-09,GWM,Tank 300,HEV Ultra 4WD,RY1,197
2025-10,GWM,Tank 300,,RY1,181
2025-11,GWM,Tank 300,,RY1,302
2025-12,GWM,Tank 300,HEV Ultra 4WD,RY1,354
2024-03,GWM,Tank 500,,RY1,21
2024-04,GWM,Tank 500,,RY1,26
2024-05,GWM,Tank 500,,RY1,46
2024-06,GWM,Tank 500,,RY1,28
2024-07,GWM,Tank 500,HEV Ultra 4WD,RY1,59
2024-08,GWM,Tank 500,,RY1,37
2024-09,GWM,Tank 500,HEV Ultra 4WD,RY1,45
2024-10,GWM,Tank 500,,RY1,24
2024-11,GWM,Tank 500,,RY1,32
2024-12,GWM,Tank 500,,RY1,31
2025-01,GWM,Tank 500,,RY1,62
2025-02,GWM,Tank 500,,RY1,40
2025-03,GWM,Tank 500,,RY1,36
2025-04,GWM,Tank 500,,RY1,31
2025-05,GWM,Tank 500,HEV Ultra 4WD,RY1,68
2025-06,GWM,Tank 500,HEV Ultra 4WD,RY1,53
2025-07,GWM,Tank 500,HEV Ultra 4WD,RY1,30
2025-08,GWM,Tank 500,,RY1,50
2025-09,GWM,Tank 500,,RY1,21
2025-10,GWM,Tank 500,HEV Ultra 4WD,RY1,31
2025-11,GWM,Tank 500,HEV Ultra 4WD,RY1,33
2025-12,GWM,Tank 500,,RY1,36
2023-01,Honda,City,1.0 Turbo SV,RY1,2314
2023-02,Honda,City,1.0 Turbo SV,RY1,375
2023-03,Honda,City,,RY1,2364
2023-04,Honda,City,,RY1,1847
2023-05,Honda,City,,RY1,2078
2023-06,Honda,City,,RY1,2011
2023-07,Honda,City,,RY1,3429
2023-08,Honda,City,e:HEV RS,RY1,2235
2023-09,Honda,City,,RY1,2081
2023-10,Honda,City,1.0 Turbo S+,RY1,1886
2023-11,Honda,City,,RY1,2879
2023-12,Honda,City,1.0 Turbo SV,RY1,2066
2024-01,Honda,City,,RY1,1633
2024-02,Honda,City,,RY1,1473
2024-03,Honda,City,1.0 Turbo S+,RY1,1392
2024-04,Honda,City,1.0 Turbo S+,RY1,2252
2024-05,Honda,City,,RY1,2399
2024-06,Honda,City,,RY1,3102
2024-07,Honda,City,,RY1,1460
2024-08,Honda,City,e:HEV SV,RY1,2777
2024-09,Honda,City,,RY1,1131
2024-10,Honda,City,,RY1,2439
2024-11,Honda,City,,RY1,2372
2024-12,Honda,City,,RY1,2607
2025-01,Honda,City,e:HEV SV,RY1,3647
2025-02,Honda,City,e:HEV RS,RY1,2539
2025-03,Honda,City,e:HEV RS,RY1,2106
2025-04,Honda,City,e:HEV RS,RY1,2624
2025-05,Honda,City,,RY1,3064
2025-06,Honda,City,,RY1,3120
2025-07,Honda,City,1.0 Turbo S+,RY1,2677
2025-08,Honda,City,1.0 Turbo SV,RY1,2386
2025-09,Honda,City,e:HEV RS,RY1,2842
2025-10,Honda,City,1.0 Turbo S+,RY1,1965
2025-11,Honda,City,e:HEV RS,RY1,2881
2025-12,Honda,City,1.0 Turbo SV,RY1,3713
2023-01,Honda,City Hatchback,,RY1,2547
2023-02,Honda,City Hatchback,,RY1,2605
2023-03,Honda,City Hatchback,1.0 Turbo SV,RY1,2461
2023-04,Honda,City Hatchback,e:HEV RS,RY1,2774
2023-05,Honda,City Hatchback,,RY1,1648
2023-06,Honda,City Hatchback,,RY1,1239
2023-07,Honda,City Hatchback,,RY1,2231
2023-08,Honda,City Hatchback,,RY1,1979
2023-09,Honda,City Hatchback,1.0 Turbo SV,RY1,2466
2023-10,Honda,City Hatchback,,RY1,2949
2023-11,Honda,City Hatchback,,RY1,1473
2023-12,Honda,City Hatchback,,RY1,1361
2024-01,Honda,City Hatchback,,RY1,2071
2024-02,Honda,City Hatchback,,RY1,1116
2024-03,Honda,City Hatchback,1.0 Turbo SV,RY1,2898
2024-04,Honda,City Hatchback,e:HEV RS,RY1,880
2024-05,Honda,City Hatchback,,RY1,3533
2024-06,Honda,City Hatchback,,RY1,3257
2024-07,Honda,City Hatchback,,RY1,2009
2024-08,Honda,City Hatchback,,RY1,1167
2024-09,Honda,City Hatchback,,RY1,1384
2024-10,Honda,City Hatchback,,RY1,2713
2024-11,Honda,City Hatchback,,RY1,1879
2024-12,Honda,City Hatchback,,RY1,1837
2025-01,Honda,City Hatchback,1.0 Turbo SV,RY1,1694
2025-02,Honda,City Hatchback,e:HEV RS,RY1,1516
2025-03,Honda,City Hatchback,e:HEV RS,RY1,2201
2025-04,Honda,City Hatchback,,RY1,2103
2025-05,Honda,City Hatchback,e:HEV RS,RY1,1257
2025-06,Honda,City Hatchback,,RY1,739
2025-07,Honda,City Hatchback,1.0 Turbo SV,RY1,1377
2025-08,Honda,City Hatchback,1.0 Turbo SV,RY1,193
2025-09,Honda,City Hatchback,,RY1,1629
2025-10,Honda,City Hatchback,,RY1,1468
2025-11,Honda,City Hatchback,,RY1,1828
2025-12,Honda,City Hatchback,e:HEV RS,RY1,933
2023-01,Honda,Civic,1.5 Turbo EL+,RY1,1226
2023-02,Honda,Civic,1.5 Turbo EL+,RY1,1605
2023-03,Honda,Civic,1.5 Turbo EL+,RY1,941
2023-04,Honda,Civic,1.5 Turbo EL+,RY1,1534
2023-05,Honda,Civic,1.5 Turbo EL+,RY1,1118
2023-06,Honda,Civic,1.5 Turbo EL+,RY1,1343
2023-07,Honda,Civic,,RY1,1961
2023-08,Honda,Civic,,RY1,2219
2023-09,Honda,Civic,,RY1,991
2023-10,Honda,Civic,,RY1,1474
2023-11,Honda,Civic,,RY1,1553
2023-12,Honda,Civic,,RY1,1142
2024-01,Honda,Civic,,RY1,942
2024-02,Honda,Civic,,RY1,1265
2024-03,Honda,Civic,,RY1,1020
2024-04,Honda,Civic,,RY1,534
2024-05,Honda,Civic,1.5 Turbo EL+,RY1,1868
2024-06,Honda,Civic,,RY1,1354
2024-07,Honda,Civic,,RY1,1939
2024-08,Honda,Civic,,RY1,1484
2024-09,Honda,Civic,,RY1,2422
2024-10,Honda,Civic,1.5 Turbo EL+,RY1,1621
2024-11,Honda,Civic,,RY1,1176
2024-12,Honda,Civic,e:HEV RS,RY1,1390
2025-01,Honda,Civic,e:HEV RS,RY1,2181
2025-02,Honda,Civic,,RY1,1472
2025-03,Honda,Civic,,RY1,1813
2025-04,Honda,Civic,,RY1,1778
2025-05,Honda,Civic,,RY1,1142
2025-06,Honda,Civic,,RY1,2223
2025-07,Honda,Civic,e:HEV RS,RY1,1796
2025-08,Honda,Civic,,RY1,1448
2025-09,Honda,Civic,,RY1,2266
2025-10,Honda,Civic,e:HEV RS,RY1,1508
2025-11,Honda,Civic,,RY1,1584
2025-12,Honda,Civic,,RY1,1481
2023-04,Honda,Accord,,RY1,708
2023-05,Honda,Accord,,RY1,188
2023-06,Honda,Accord,,RY1,386
2023-07,Honda,Accord,,RY1,332
2023-08,Honda,Accord,,RY1,619
2023-09,Honda,Accord,e:HEV EL,RY1,682
2023-10,Honda,Accord,,RY1,470
2023-11,Honda,Accord,,RY1,570
2023-12,Honda,Accord,,RY1,874
2024-01,Honda,Accord,e:HEV EL,RY1,556
2024-02,Honda,Accord,,RY1,594
2024-03,Honda,Accord,,RY1,354
2024-04,Honda,Accord,,RY1,445
2024-05,Honda,Accord,e:HEV EL,RY1,809
2024-06,Honda,Accord,e:HEV EL,RY1,403
2024-07,Honda,Accord,e:HEV EL,RY1,450
2024-08,Honda,Accord,,RY1,843
2024-09,Honda,Accord,,RY1,887
2024-10,Honda,Accord,,RY1,979
2024-11,Honda,Accord,e:HEV EL,RY1,464
2024-12,Honda,Accord,,RY1,687
2025-01,Honda,Accord,,RY1,819
2025-02,Honda,Accord,,RY1,556
2025-03,Honda,Accord,,RY1,934
2025-04,Honda,Accord,,RY1,748
2025-05,Honda,Accord,e:HEV EL,RY1,1056
2025-06,Honda,Accord,,RY1,917
2025-07,Honda,Accord,e:HEV EL,RY1,341
2025-08,Honda,Accord,e:HEV EL,RY1,654
2025-09,Honda,Accord,,RY1,579
2025-10,Honda,Accord,,RY1,839
2025-11,Honda,Accord,e:HEV EL,RY1,839
2025-12,Honda,Accord,,RY1,880
2023-01,Honda,HR-V,,RY1,2289
2023-02,Honda,HR-V,e:HEV RS,RY1,2013
2023-03,Honda,HR-V,,RY1,3445
2023-04,Honda,HR-V,,RY1,2855
2023-05,Honda,HR-V,,RY1,3159
2023-06,Honda,HR-V,,RY1,2607
2023-07,Honda,HR-V,,RY1,1947
2023-08,Honda,HR-V,,RY1,2654
2023-09,Honda,HR-V,e:HEV E,RY1,3484
2023-10,Honda,HR-V,,RY1,2581
2023-11,Honda,HR-V,,RY1,1552
2023-12,Honda,HR-V,e:HEV RS,RY1,2532
2024-01,Honda,HR-V,e:HEV E,RY1,2666
2024-02,Honda,HR-V,,RY1,2586
2024-03,Honda,HR-V,,RY1,2381
2024-04,Honda,HR-V,e:HEV E,RY1,2467
2024-05,Honda,HR-V,,RY1,2382
2024-06,Honda,HR-V,e:HEV E,RY1,2632
2024-07,Honda,HR-V,,RY1,3053
2024-08,Honda,HR-V,,RY1,1890
2024-09,Honda,HR-V,,RY1,2756
2024-10,Honda,HR-V,,RY1,2260
2024-11,Honda,HR-V,,RY1,1794
2024-12,Honda,HR-V,e:HEV E,RY1,2990
2025-01,Honda,HR-V,e:HEV E,RY1,2618
2025-02,Honda,HR-V,,RY1,3134
2025-03,Honda,HR-V,,RY1,2782
2025-04,Honda,HR-V,,RY1,2474
2025-05,Honda,HR-V,,RY1,2234
2025-06,Honda,HR-V,e:HEV E,RY1,3378
2025-07,Honda,HR-V,,RY1,2617
2025-08,Honda,HR-V,e:HEV RS,RY1,3552
2025-09,Honda,HR-V,,RY1,3319
2025-10,Honda,HR-V,e:HEV RS,RY1,2074
2025-11,Honda,HR-V,e:HEV E,RY1,3651
2025-12,Honda,HR-V,,RY1,1918
2023-11,Honda,CR-V,,RY1,1121
2023-12,Honda,CR-V,2.0 e:HEV ES 4WD,RY1,988
2024-01,Honda,CR-V,,RY1,769
2024-02,Honda,CR-V,,RY1,341
2024-03,Honda,CR-V,,RY1,1788
2024-04,Honda,CR-V,,RY1,1480
2024-05,Honda,CR-V,2.0 e:HEV RS,RY1,1516
2024-06,Honda,CR-V,,RY1,1526
2024-07,Honda,CR-V,,RY1,1810
2024-08,Honda,CR-V,,RY1,1206
2024-09,Honda,CR-V,,RY1,828
2024-10,Honda,CR-V,,RY1,1041
2024-11,Honda,CR-V,2.0 e:HEV RS,RY1,1917
2024-12,Honda,CR-V,2.0 e:HEV ES 4WD,RY1,1249
2025-01,Honda,CR-V,2.0 e:HEV RS,RY1,970
2025-02,Honda,CR-V,,RY1,1088
2025-03,Honda,CR-V,,RY1,2141
2025-04,Honda,CR-V,,RY1,1504
2025-05,Honda,CR-V,,RY1,1804
2025-06,Honda,CR-V,2.0 e:HEV ES 4WD,RY1,872
2025-07,Honda,CR-V,,RY1,1238
2025-08,Honda,CR-V,2.0 e:HEV RS,RY1,1542
2025-09,Honda,CR-V,,RY1,1492
2025-10,Honda,CR-V,,RY1,1550
2025-11,Honda,CR-V,,RY1,1586
2025-12,Honda,CR-V,2.0 e:HEV ES 4WD,RY1,1312
2023-08,Honda,WR-V,,RY1,1606
2023-09,Honda,WR-V,1.5 SV,RY1,1424
2023-10,Honda,WR-V,,RY1,1607
2023-11,Honda,WR-V,,RY1,1600
2023-12,Honda,WR-V,1.5 SV,RY1,2595
2024-01,Honda,WR-V,,RY1,2832
2024-02,Honda,WR-V,,RY1,1778
2024-03,Honda,WR-V,,RY1,2390
2024-04,Honda,WR-V,,RY1,1993
2024-05,Honda,WR-V,,RY1,2038
2024-06,Honda,WR-V,1.5 RS,RY1,1075
2024-07,Honda,WR-V,1.5 RS,RY1,2772
2024-08,Honda,WR-V,,RY1,2794
2024-09,Honda,WR-V,,RY1,1918
2024-10,Honda,WR-V,1.5 RS,RY1,1595
2024-11,Honda,WR-V,1.5 SV,RY1,1787
2024-12,Honda,WR-V,,RY1,1311
2025-01,Honda,WR-V,,RY1,1437
2025-02,Honda,WR-V,1.5 RS,RY1,1013
2025-03,Honda,WR-V,,RY1,605
2025-04,Honda,WR-V,,RY1,1451
2025-05,Honda,WR-V,,RY1,1911
2025-06,Honda,WR-V,1.5 SV,RY1,2334
2025-07,Honda,WR-V,1.5 SV,RY1,3050
2025-08,Honda,WR-V,,RY1,2163
2025-09,Honda,WR-V,1.5 SV,RY1,517
2025-10,Honda,WR-V,,RY1,1924
2025-11,Honda,WR-V,,RY1,1327
2025-12,Honda,WR-V,1.5 RS,RY1,2743
2023-01,Honda,BR-V,,RY1,1714
2023-02,Honda,BR-V,1.5 EL,RY1,2151
2023-03,Honda,BR-V,,RY1,2075
2023-04,Honda,BR-V,,RY1,2024
2023-05,Honda,BR-V,1.5 EL,RY1,2505
2023-06,Honda,BR-V,1.5 EL,RY1,1605
2023-07,Honda,BR-V,,RY1,2292
2023-08,Honda,BR-V,,RY1,2451
2023-09,Honda,BR-V,1.5 EL,RY1,1657
2023-10,Honda,BR-V,,RY1,1152
2023-11,Honda,BR-V,,RY1,948
2023-12,Honda,BR-V,,RY1,1872
2024-01,Honda,BR-V,,RY1,1402
2024-02,Honda,BR-V,,RY1,1357
2024-03,Honda,BR-V,,RY1,2291
2024-04,Honda,BR-V,1.5 EL,RY1,1885
2024-05,Honda,BR-V,1.5 EL,RY1,2849
2024-06,Honda,BR-V,1.5 EL,RY1,2832
2024-07,Honda,BR-V,1.5 EL,RY1,1038
2024-08,Honda,BR-V,,RY1,1806
2024-09,Honda,BR-V,1.5 EL,RY1,1685
2024-10,Honda,BR-V,1.5 EL,RY1,1650
2024-11,Honda,BR-V,,RY1,1132
2024-12,Honda,BR-V,1.5 EL,RY1,2678
2025-01,Honda,BR-V,,RY1,2209
2025-02,Honda,BR-V,,RY1,1746
2025-03,Honda,BR-V,,RY1,2419
2025-04,Honda,BR-V,,RY1,2328
2025-05,Honda,BR-V,,RY1,1629
2025-06,Honda,BR-V,,RY1,1897
2025-07,Honda,BR-V,,RY1,1873
2025-08,Honda,BR-V,1.5 EL,RY1,1698
2025-09,Honda,BR-V,1.5 EL,RY1,1475
2025-10,Honda,BR-V,1.5 EL,RY1,2226
2025-11,Honda,BR-V,,RY1,3286
2025-12,Honda,BR-V,,RY1,1806
2024-01,Honda,e:N1,,RY1,1993
2024-02,Honda,e:N1,,RY1,1641
2024-03,Honda,e:N1,,RY1,2022
2024-04,Honda,e:N1,e:N1,RY1,2981
2024-05,Honda,e:N1,e:N1,RY1,2082
2024-06,Honda,e:N1,e:N1,RY1,3027
2024-07,Honda,e:N1,,RY1,1897
2024-08,Honda,e:N1,,RY1,3894
2024-09,Honda,e:N1,,RY1,1899
2024-10,Honda,e:N1,,RY1,1004
2024-11,Honda,e:N1,,RY1,1514
2024-12,Honda,e:N1,e:N1,RY1,2793
2025-01,Honda,e:N1,e:N1,RY1,1919
