เดือน,ยี่ห้อ,แบบรถ,รุ่นย่อย,จำนวน
2026-10,Mazda,Mazda3,2.0 SP,535
2026-11,Mazda,Mazda3,2.0 SP,607
2026-12,Mazda,Mazda3,,675
2026-01,Mazda,CX-3,2.0 Base Plus,609
2026-02,Mazda,CX-3,,514
2026-03,Mazda,CX-3,,477
2026-04,Mazda,CX-3,,478
2026-05,Mazda,CX-3,,410
2026-06,Mazda,CX-3,,780
2026-07,Mazda,CX-3,2.0 Base Plus,733
2026-08,Mazda,CX-3,,889
2026-09,Mazda,CX-3,,552
2026-10,Mazda,CX-3,2.0 Base Plus,764
2026-11,Mazda,CX-3,,882
2026-12,Mazda,CX-3,2.0 Base Plus,679
2026-01,Mazda,CX-30,,405
2026-02,Mazda,CX-30,2.0 SP,398
2026-03,Mazda,CX-30,,468
2026-04,Mazda,CX-30,,377
2026-05,Mazda,CX-30,,482
2026-06,Mazda,CX-30,2.0 SP,357
2026-07,Mazda,CX-30,2.0 SP,451
2026-08,Mazda,CX-30,,278
2026-09,Mazda,CX-30,2.0 SP,251
2026-10,Mazda,CX-30,,147
2026-11,Mazda,CX-30,2.0 SP,338
2026-12,Mazda,CX-30,2.0 SP,327
2026-01,Mazda,CX-5,2.0 SP,218
2026-02,Mazda,CX-5,,144
2026-03,Mazda,CX-5,,147
2026-04,Mazda,CX-5,,174
2026-05,Mazda,CX-5,,108
2026-06,Mazda,CX-5,2.0 SP,200
2026-07,Mazda,CX-5,2.0 SP,147
2026-08,Mazda,CX-5,,141
2026-09,Mazda,CX-5,,220
2026-10,Mazda,CX-5,,175
2026-11,Mazda,CX-5,,179
2026-12,Mazda,CX-5,2.0 SP,229
2026-01,Mazda,CX-8,2.5 SP,176
2026-02,Mazda,CX-8,2.5 SP,122
2026-03,Mazda,CX-8,,207
2026-04,Mazda,CX-8,2.5 SP,171
2026-05,Mazda,CX-8,,96
2026-06,Mazda,CX-8,,83
2026-07,Mazda,CX-8,,191
2026-08,Mazda,CX-8,,53
2026-09,Mazda,CX-8,2.5 SP,102
2026-10,Mazda,CX-8,2.5 SP,177
2026-11,Mazda,CX-8,,171
2026-12,Mazda,CX-8,,147
2026-01,Mazda,BT-50 Double Cab,3.0 SP 4x4,508
2026-02,Mazda,BT-50,,191
2026-03,Mazda,BT-50,3.0 SP 4x4,553
2026-04,Mazda,BT-50,3.0 SP 4x4,333
2026-05,Mazda,BT-50,,351
2026-06,Mazda,BT-50,,629
2026-07,Mazda,BT-50 Double Cab,,88
2026-08,Mazda,BT-50,,196
2026-09,Mazda,BT-50 Double Cab,,458
2026-10,Mazda,BT-50 Double Cab,,134
2026-11,Mazda,BT-50 Double Cab,3.0 SP 4x4,249
2026-12,Mazda,BT-50,,406
2026-01,Mercedes-Benz,C-Class,C350e AMG Dynamic,59
2026-02,Mercedes-Benz,C-Class,,89
2026-03,Mercedes-Benz,C-Class,,70
2026-04,Mercedes-Benz,C-Class,,64
2026-05,Mercedes-Benz,C-Class,C350e AMG Dynamic,92
2026-06,Mercedes-Benz,C-Class,,141
2026-07,Mercedes-Benz,C-Class,,83
2026-08,Mercedes-Benz,C-Class,,86
2026-09,Mercedes-Benz,C-Class,,112
2026-10,Mercedes-Benz,C-Class,,70
2026-11,Mercedes-Benz,C-Class,C350e AMG Dynamic,75
2026-12,Mercedes-Benz,C-Class,,62
2026-01,Mercedes-Benz,E-Class,,27
2026-02,Mercedes-Benz,E-Class,E220d AMG Dynamic,21
2026-03,Mercedes-Benz,E-Class,,38
2026-04,Mercedes-Benz,E-Class,,32
2026-05,Mercedes-Benz,E-Class,E220d AMG Dynamic,40
2026-06,Mercedes-Benz,E-Class,,32
2026-07,Mercedes-Benz,E-Class,,34
2026-08,Mercedes-Benz,E-Class,,47
2026-09,Mercedes-Benz,E-Class,E220d AMG Dynamic,37
2026-10,Mercedes-Benz,E-Class,,36
2026-11,Mercedes-Benz,E-Class,E220d AMG Dynamic,28
2026-12,Mercedes-Benz,E-Class,E220d AMG Dynamic,45
2026-01,Mercedes-Benz,GLA,GLA200 AMG Dynamic,356
2026-02,Mercedes-Benz,GLA,GLA200 AMG Dynamic,487
2026-03,Mercedes-Benz,GLA,,246
2026-04,Mercedes-Benz,GLA,,402
2026-05,Mercedes-Benz,GLA,GLA200 AMG Dynamic,157
2026-06,Mercedes-Benz,GLA,GLA200 AMG Dynamic,307
2026-07,Mercedes-Benz,GLA,,309
2026-08,Mercedes-Benz,GLA,,489
2026-09,Mercedes-Benz,GLA,,324
2026-10,Mercedes-Benz,GLA,,540
2026-11,Mercedes-Benz,GLA,,343
2026-12,Mercedes-Benz,GLA,GLA200 AMG Dynamic,474
2026-01,Mercedes-Benz,GLC,,65
2026-02,Mercedes-Benz,GLC,,106
2026-03,Mercedes-Benz,GLC,,106
2026-04,Mercedes-Benz,GLC,,82
2026-05,Mercedes-Benz,GLC,,82
2026-06,Mercedes-Benz,GLC,,140
2026-07,Mercedes-Benz,GLC,,139
2026-08,Mercedes-Benz,GLC,,152
2026-09,Mercedes-Benz,GLC,GLC300e AMG Dynamic,126
2026-10,Mercedes-Benz,GLC,,159
2026-11,Mercedes-Benz,GLC,,145
2026-12,Mercedes-Benz,GLC,,142
2026-01,Mercedes-Benz,EQS,,31
2026-02,Mercedes-Benz,EQS,EQS500 4Matic AMG,35
2026-03,Mercedes-Benz,EQS,,23
2026-04,Mercedes-Benz,EQS,EQS500 4Matic AMG,34
2026-05,Mercedes-Benz,EQS,,33
2026-06,Mercedes-Benz,EQS,,24
2026-07,Mercedes-Benz,EQS,EQS500 4Matic AMG,10
2026-08,Mercedes-Benz,EQS,EQS500 4Matic AMG,33
2026-09,Mercedes-Benz,EQS,EQS500 4Matic AMG,28
2026-10,Mercedes-Benz,EQS,,32
2026-11,Mercedes-Benz,EQS,EQS500 4Matic AMG,42
2026-12,Mercedes-Benz,EQS,EQS500 4Matic AMG,37
2026-01,MG,MG3,1.5 HEV+,737
2026-02,MG,MG3,,842
2026-03,MG,MG3,,1060
2026-04,MG,MG3,,1322
2026-05,MG,MG3,,971
2026-06,MG,MG3,1.5 HEV+,867
2026-07,MG,MG3,1.5 HEV+,1032
2026-08,MG,MG3,,881
2026-09,MG,MG3,,802
2026-10,MG,MG3,1.5 HEV+,756
2026-11,MG,MG3,,1471
2026-12,MG,MG3,,1317
2026-01,MG,MG4 Electric,D 51kWh,726
2026-02,MG,MG4 Electric,D 51kWh,731
2026-03,MG,MG4 Electric,,675
2026-04,MG,MG4 Electric,,738
2026-05,MG,MG4 Electric,,699
2026-06,MG,MG4 Electric,,670
2026-07,MG,MG4 Electric,X 64kWh,398
2026-08,MG,MG4 Electric,,532
2026-09,MG,MG4 Electric,,469
2026-10,MG,MG4 Electric,X 64kWh,244
2026-11,MG,MG4 Electric,X 64kWh,664
2026-12,MG,MG4 Electric,X 64kWh,716
2026-01,MG,MG5,,920
2026-02,MG,MG5,1.5 X,771
2026-03,MG,MG5,1.5 X,961
2026-04,MG,MG5,,548
2026-05,MG,MG5,,544
2026-06,MG,MG5,1.5 X,516
2026-07,MG,MG5,1.5 X,788
2026-08,MG,MG5,,338
2026-09,MG,MG5,1.5 X,555
2026-10,MG,MG5,,615
2026-11,MG,MG5,,383
2026-12,MG,MG5,,515
2026-01,MG,MG ZS,1.5 X,1080
2026-02,MG,MG ZS,1.5 X,350
2026-03,MG,MG ZS,,1138
2026-04,MG,MG ZS,1.5 X,1273
2026-05,MG,MG ZS,1.5 X,692
2026-06,MG,MG ZS,1.5 X,1571
2026-07,MG,MG ZS,,1201
2026-08,MG,MG ZS,,796
2026-09,MG,MG ZS,1.5 X,1296
2026-10,MG,MG ZS,,648
2026-11,MG,MG ZS,,1098
2026-12,MG,MG ZS,1.5 X,642
2026-01,MG,MG ZS EV,,1130
2026-02,MG,MG ZS EV,Long Range,854
2026-03,MG,MG ZS EV,Long Range,474
2026-04,MG,MG ZS EV,,1101
2026-05,MG,MG ZS EV,Long Range,1235
2026-06,MG,MG ZS EV,,1061
2026-07,MG,MG ZS EV,Long Range,1461
2026-08,MG,MG ZS EV,Long Range,1262
2026-09,MG,MG ZS EV,,1157
2026-10,MG,MG ZS EV,,1551
2026-11,MG,MG ZS EV,,1189
2026-12,MG,MG ZS EV,,940
2026-01,MG,MG HS,PHEV X,467
2026-02,MG,MG HS,1.5 Turbo X,615
2026-03,MG,MG HS,,574
2026-04,MG,MG HS,,992
2026-05,MG,MG HS,,572
2026-06,MG,MG HS,1.5 Turbo X,566
2026-07,MG,MG HS,,515
2026-08,MG,MG HS,,495
2026-09,MG,MG HS,,384
2026-10,MG,MG HS,,896
2026-11,MG,MG HS,,625
2026-12,MG,MG HS,,634
2026-01,MG,MG VS HEV,HEV D,1236
2026-02,MG,MG VS HEV,,1048
2026-03,MG,MG VS HEV,,792
2026-04,MG,MG VS HEV,HEV D,1083
2026-05,MG,MG VS HEV,HEV D,827
2026-06,MG,MG VS HEV,,1349
2026-07,MG,MG VS HEV,,1205
2026-08,MG,MG VS HEV,,1261
2026-09,MG,MG VS HEV,,2260
2026-10,MG,MG VS HEV,,1092
2026-11,MG,MG VS HEV,,1112
2026-12,MG,MG VS HEV,HEV D,1494
2026-01,MG,MG Extender Double Cab,2.0 Grand Tiger,875
2026-02,MG,MG Extender,,901
2026-03,MG,MG Extender,2.0 Grand Tiger,729
2026-04,MG,MG Extender Double Cab,,559
2026-05,MG,MG Extender Double Cab,,1176
2026-06,MG,MG Extender,,978
2026-07,MG,MG Extender Double Cab,,797
2026-08,MG,MG Extender,,908
2026-09,MG,MG Extender Double Cab,,980
2026-10,MG,MG Extender,,1195
2026-11,MG,MG Extender,2.0 Grand Tiger,915
2026-12,MG,MG Extender,2.0 Grand Tiger,620
2026-01,MG,MG Maxus 9,Luxury,64
2026-02,MG,MG Maxus 9,,93
2026-03,MG,MG Maxus 9,,46
2026-04,MG,MG Maxus 9,,99
2026-05,MG,MG Maxus 9,,61
2026-06,MG,MG Maxus 9,,33
2026-07,MG,MG Maxus 9,,89
2026-08,MG,MG Maxus 9,Luxury,66
2026-09,MG,MG Maxus 9,,56
2026-10,MG,MG Maxus 9,,50
2026-11,MG,MG Maxus 9,,68
2026-12,MG,MG Maxus 9,,60
2026-01,MG,MG ES,,537
2026-02,MG,MG ES,,607
2026-03,MG,MG ES,,492
2026-04,MG,MG ES,Long Range,384
2026-05,MG,MG ES,,554
2026-06,MG,MG ES,Long Range,611
2026-07,MG,MG ES,,471
2026-08,MG,MG ES,,721
2026-09,MG,MG ES,,402
2026-10,MG,MG ES,,637
2026-11,MG,MG ES,,491
2026-12,MG,MG ES,,652
2026-01,MINI,Cooper,,352
2026-02,MINI,Cooper,,470
2026-03,MINI,Cooper,Cooper SE,395
2026-04,MINI,Cooper,Cooper SE,315
2026-05,MINI,Cooper,,348
2026-06,MINI,Cooper,,511
2026-07,MINI,Cooper,,566
2026-08,MINI,Cooper,,628
2026-09,MINI,Cooper,,472
2026-10,MINI,Cooper,,636
2026-11,MINI,Cooper,,625
2026-12,MINI,Cooper,,632
2026-01,MINI,Countryman,,325
2026-02,MINI,Countryman,,200
2026-03,MINI,Countryman,,264
2026-04,MINI,Countryman,,251
2026-05,MINI,Countryman,Countryman E,297
2026-06,MINI,Countryman,,352
2026-07,MINI,Countryman,,336
2026-08,MINI,Countryman,,364
2026-09,MINI,Countryman,Countryman E,319
2026-10,MINI,Countryman,,335
2026-11,MINI,Countryman,,221
2026-12,MINI,Countryman,,358
2026-01,Mitsubishi,Triton,,706
2026-02,Mitsubishi,Triton Double Cab,,1141
2026-03,Mitsubishi,Triton Double Cab,,1292
2026-04,Mitsubishi,Triton Double Cab,,1145
2026-05,Mitsubishi,Triton,,1278
2026-06,Mitsubishi,Triton Double Cab,,675
2026-07,Mitsubishi,Triton Double Cab,,1058
2026-08,Mitsubishi,Triton,,1601
2026-09,Mitsubishi,Triton,,706
2026-10,Mitsubishi,Triton Double Cab,,819
2026-11,Mitsubishi,Triton,2.4 Ultimate 4WD,841
2026-12,Mitsubishi,Triton Double Cab,2.4 Ultimate 4WD,679
2026-01,Mitsubishi,Pajero Sport,,361
2026-02,Mitsubishi,Pajero Sport,2.4 GT,257
2026-03,Mitsubishi,Pajero Sport,,459
2026-04,Mitsubishi,Pajero Sport,2.4 GT Premium 4WD,287
2026-05,Mitsubishi,Pajero Sport,,484
2026-06,Mitsubishi,Pajero Sport,,413
2026-07,Mitsubishi,Pajero Sport,,576
2026-08,Mitsubishi,Pajero Sport,,445
2026-09,Mitsubishi,Pajero Sport,,556
2026-10,Mitsubishi,Pajero Sport,,583
2026-11,Mitsubishi,Pajero Sport,,405
2026-12,Mitsubishi,Pajero Sport,2.4 GT,476
2026-01,Mitsubishi,Xpander,1.6 HEV GT,797
2026-02,Mitsubishi,Xpander,,1539
2026-03,Mitsubishi,Xpander,1.5 GT,1588
2026-04,Mitsubishi,Xpander,,1386
2026-05,Mitsubishi,Xpander,1.6 HEV GT,1433
2026-06,Mitsubishi,Xpander,1.6 HEV GT,1459
2026-07,Mitsubishi,Xpander,1.5 GT,1509
2026-08,Mitsubishi,Xpander,1.6 HEV GT,2028
2026-09,Mitsubishi,Xpander,,2121
2026-10,Mitsubishi,Xpander,,1495
2026-11,Mitsubishi,Xpander,1.6 HEV GT,1764
2026-12,Mitsubishi,Xpander,,1411
2026-01,Mitsubishi,Xpander Cross,,1263
2026-02,Mitsubishi,Xpander Cross,,1954
2026-03,Mitsubishi,Xpander Cross,,520
2026-04,Mitsubishi,Xpander Cross,1.5 GT,1015
2026-05,Mitsubishi,Xpander Cross,,1210
2026-06,Mitsubishi,Xpander Cross,,782
2026-07,Mitsubishi,Xpander Cross,,1679
2026-08,Mitsubishi,Xpander Cross,,591
2026-09,Mitsubishi,Xpander Cross,,1444
2026-10,Mitsubishi,Xpander Cross,,981
2026-11,Mitsubishi,Xpander Cross,,993
2026-12,Mitsubishi,Xpander Cross,,775
2026-01,Mitsubishi,Attrage,1.2 GLS,1422
2026-02,Mitsubishi,Attrage,,1385
2026-03,Mitsubishi,Attrage,,1326
2026-04,Mitsubishi,Attrage,,1276
2026-05,Mitsubishi,Attrage,1.2 GLS,1751
2026-06,Mitsubishi,Attrage,,2035
2026-07,Mitsubishi,Attrage,1.2 GLS,2139
2026-08,Mitsubishi,Attrage,1.2 GLS,1573
2026-09,Mitsubishi,Attrage,,1487
2026-10,Mitsubishi,Attrage,,1504
2026-11,Mitsubishi,Attrage,,1271
2026-12,Mitsubishi,Attrage,1.2 GLS,2626
2026-01,Mitsubishi,Mirage,1.2 GLS,437
2026-02,Mitsubishi,Mirage,1.2 GLS,167
2026-03,Mitsubishi,Mirage,,287
2026-04,Mitsubishi,Mirage,,401
2026-05,Mitsubishi,Mirage,,245
2026-06,Mitsubishi,Mirage,1.2 GLS,296
2026-07,Mitsubishi,Mirage,1.2 GLS,343
2026-08,Mitsubishi,Mirage,,354
2026-09,Mitsubishi,Mirage,,389
2026-10,Mitsubishi,Mirage,1.2 GLS,296
2026-11,Mitsubishi,Mirage,,254
2026-12,Mitsubishi,Mirage,,237
2026-01,Mitsubishi,Xforce,1.5 Ultimate,1074
2026-02,Mitsubishi,Xforce,1.5 Ultimate,1899
2026-03,Mitsubishi,Xforce,,996
2026-04,Mitsubishi,Xforce,,785
2026-05,Mitsubishi,Xforce,,1289
2026-06,Mitsubishi,Xforce,1.5 Ultimate,1421
2026-07,Mitsubishi,Xforce,1.5 Ultimate,965
2026-08,Mitsubishi,Xforce,,1686
2026-09,Mitsubishi,Xforce,1.5 Ultimate,1444
2026-10,Mitsubishi,Xforce,,805
2026-11,Mitsubishi,Xforce,,1278
2026-12,Mitsubishi,Xforce,,1290
2026-01,Neta,Neta V,Standard,50
2026-02,Neta,Neta V,Standard,73
2026-03,Neta,Neta V,,69
2026-04,Neta,Neta V,,83
2026-05,Neta,Neta V,Standard,89
2026-06,Neta,Neta V,,78
2026-07,Neta,Neta V,Standard,70
2026-08,Neta,Neta V,,68
2026-09,Neta,Neta V,Standard,34
2026-10,Neta,Neta V,Standard,77
2026-11,Neta,Neta V,,87
2026-12,Neta,Neta V,,51
2026-01,Neta,Neta X,,388
2026-02,Neta,Neta X,,294
2026-03,Neta,Neta X,,319
2026-04,Neta,Neta X,Smart,378
2026-05,Neta,Neta X,,235
2026-06,Neta,Neta X,,326
2026-07,Neta,Neta X,,486
2026-08,Neta,Neta X,Smart,328
2026-09,Neta,Neta X,Smart,50
2026-10,Neta,Neta X,,421
2026-11,Neta,Neta X,,268
2026-12,Neta,Neta X,Smart,79
2026-01,Nissan,Almera,,977
2026-02,Nissan,Almera,,701
2026-03,Nissan,Almera,,721
2026-04,Nissan,Almera,,748
2026-05,Nissan,Almera,1.0 Turbo VL,831
2026-06,Nissan,Almera,1.0 Turbo VL,672
2026-07,Nissan,Almera,,666
2026-08,Nissan,Almera,,730
2026-09,Nissan,Almera,,860
2026-10,Nissan,Almera,,679
2026-11,Nissan,Almera,1.0 Turbo VL,478
2026-12,Nissan,Almera,,531
2026-01,Nissan,Kicks e-Power,,680
2026-02,Nissan,Kicks e-Power,e-Power VL,669
2026-03,Nissan,Kicks e-Power,,595
2026-04,Nissan,Kicks e-Power,e-Power VL,881
2026-05,Nissan,Kicks e-Power,,815
2026-06,Nissan,Kicks e-Power,e-Power VL,1006
2026-07,Nissan,Kicks e-Power,e-Power VL,1250
2026-08,Nissan,Kicks e-Power,,803
2026-09,Nissan,Kicks e-Power,e-Power VL,1096
2026-10,Nissan,Kicks e-Power,,1022
2026-11,Nissan,Kicks e-Power,,672
2026-12,Nissan,Kicks e-Power,e-Power VL,802
2026-01,Nissan,Navara,,622
2026-02,Nissan,Navara Double Cab,2.5 Pro-4X 4WD,808
2026-03,Nissan,Navara,,708
2026-04,Nissan,Navara,,592
2026-05,Nissan,Navara,,154
2026-06,Nissan,Navara Double Cab,,672
2026-07,Nissan,Navara Double Cab,,666
2026-08,Nissan,Navara,,700
2026-09,Nissan,Navara Double Cab,,641
2026-10,Nissan,Navara,,705
2026-11,Nissan,Navara,,532
2026-12,Nissan,Navara Double Cab,2.5 Pro-4X 4WD,774
2026-01,Nissan,Terra,,255
2026-02,Nissan,Terra,,175
2026-03,Nissan,Terra,,94
2026-04,Nissan,Terra,,285
2026-05,Nissan,Terra,,196
2026-06,Nissan,Terra,,282
2026-07,Nissan,Terra,2.3 VL 4WD,148
2026-08,Nissan,Terra,2.3 VL 4WD,218
2026-09,Nissan,Terra,2.3 VL 4WD,174
2026-10,Nissan,Terra,2.3 VL 4WD,188
2026-11,Nissan,Terra,2.3 VL 4WD,162
2026-12,Nissan,Terra,2.3 VL 4WD,73
2026-01,Porsche,Macan,,135
2026-02,Porsche,Macan,,103
2026-03,Porsche,Macan,,92
2026-04,Porsche,Macan,Macan,125
2026-05,Porsche,Macan,,96
2026-06,Porsche,Macan,,73
2026-07,Porsche,Macan,,71
2026-08,Porsche,Macan,,114
2026-09,Porsche,Macan,,20
2026-10,Porsche,Macan,Macan,47
2026-11,Porsche,Macan,Macan,149
2026-12,Porsche,Macan,,90
2026-01,Porsche,Cayenne,,21
2026-02,Porsche,Cayenne,,29
2026-03,Porsche,Cayenne,,39
2026-04,Porsche,Cayenne,,36
2026-05,Porsche,Cayenne,,42
2026-06,Porsche,Cayenne,Cayenne E-Hybrid,38
2026-07,Porsche,Cayenne,,44
2026-08,Porsche,Cayenne,Cayenne E-Hybrid,44
2026-09,Porsche,Cayenne,,39
2026-10,Porsche,Cayenne,,37
2026-11,Porsche,Cayenne,Cayenne E-Hybrid,43
2026-12,Porsche,Cayenne,,31
2026-01,Porsche,911,,92
2026-02,Porsche,911,Carrera,97
2026-03,Porsche,911,,105
2026-04,Porsche,911,,132
2026-05,Porsche,911,Carrera,84
2026-06,Porsche,911,,99
2026-07,Porsche,911,,80
2026-08,Porsche,911,,59
2026-09,Porsche,911,,60
2026-10,Porsche,911,,95
2026-11,Porsche,911,,130
2026-12,Porsche,911,Carrera,85
2026-01,Subaru,Forester,,174
2026-02,Subaru,Forester,,198
2026-03,Subaru,Forester,,257
2026-04,Subaru,Forester,2.0 i-S EyeSight,361
2026-05,Subaru,Forester,,216
2026-06,Subaru,Forester,,314
2026-07,Subaru,Forester,2.0 i-S EyeSight,239
2026-08,Subaru,Forester,2.0 i-S EyeSight,330
2026-09,Subaru,Forester,,318
2026-10,Subaru,Forester,,281
2026-11,Subaru,Forester,,453
2026-12,Subaru,Forester,,271
2026-01,Subaru,Crosstrek,2.0 e-Boxer,502
2026-02,Subaru,Crosstrek,,138
2026-03,Subaru,Crosstrek,,307
2026-04,Subaru,Crosstrek,,266
2026-05,Subaru,Crosstrek,,439
2026-06,Subaru,Crosstrek,2.0 e-Boxer,460
2026-07,Subaru,Crosstrek,,321
2026-08,Subaru,Crosstrek,2.0 e-Boxer,496
2026-09,Subaru,Crosstrek,,431
2026-10,Subaru,Crosstrek,,395
2026-11,Subaru,Crosstrek,,311
2026-12,Subaru,Crosstrek,,222
2026-01,Suzuki,Swift,,297
2026-02,Suzuki,Swift,,338
2026-03,Suzuki,Swift,,299
2026-04,Suzuki,Swift,,397
2026-05,Suzuki,Swift,1.2 GLX,573
2026-06,Suzuki,Swift,1.2 GLX,407
2026-07,Suzuki,Swift,,485
2026-08,Suzuki,Swift,1.2 GLX,506
2026-09,Suzuki,Swift,,439
2026-10,Suzuki,Swift,,464
2026-11,Suzuki,Swift,,675
2026-12,Suzuki,Swift,,351
2026-01,Suzuki,Ciaz,,338
2026-02,Suzuki,Ciaz,1.2 GLX,344
2026-03,Suzuki,Ciaz,1.2 GLX,439
2026-04,Suzuki,Ciaz,,410
2026-05,Suzuki,Ciaz,,407
2026-06,Suzuki,Ciaz,,395
2026-07,Suzuki,Ciaz,,526
2026-08,Suzuki,Ciaz,1.2 GLX,469
2026-09,Suzuki,Ciaz,,579
2026-10,Suzuki,Ciaz,,557
2026-11,Suzuki,Ciaz,1.2 GLX,614
2026-12,Suzuki,Ciaz,,446
2026-01,Suzuki,Celerio,,76
2026-02,Suzuki,Celerio,,104
2026-03,Suzuki,Celerio,1.0 GL,97
2026-04,Suzuki,Celerio,,72
2026-05,Suzuki,Celerio,1.0 GL,95
2026-06,Suzuki,Celerio,,130
2026-07,Suzuki,Celerio,,84
2026-08,Suzuki,Celerio,1.0 GL,98
2026-09,Suzuki,Celerio,,66
2026-10,Suzuki,Celerio,1.0 GL,131
2026-11,Suzuki,Celerio,,73
2026-12,Suzuki,Celerio,1.0 GL,115
2026-01,Suzuki,Ertiga,,208
2026-02,Suzuki,Ertiga,1.5 GX,342
2026-03,Suzuki,Ertiga,1.5 GX,272
2026-04,Suzuki,Ertiga,,289
2026-05,Suzuki,Ertiga,1.5 GX,378
2026-06,Suzuki,Ertiga,,384
2026-07,Suzuki,Ertiga,,310
2026-08,Suzuki,Ertiga,,477
2026-09,Suzuki,Ertiga,1.5 GX,257
2026-10,Suzuki,Ertiga,,379
2026-11,Suzuki,Ertiga,,199
2026-12,Suzuki,Ertiga,,365
2026-01,Suzuki,XL7,,384
2026-02,Suzuki,XL7,,504
2026-03,Suzuki,XL7,,377
2026-04,Suzuki,XL7,,470
2026-05,Suzuki,XL7,,362
2026-06,Suzuki,XL7,1.5 GLX,281
2026-07,Suzuki,XL7,,430
2026-08,Suzuki,XL7,1.5 GLX,346
2026-09,Suzuki,XL7,,313
2026-10,Suzuki,XL7,1.5 GLX,328
2026-11,Suzuki,XL7,,317
2026-12,Suzuki,XL7,,442
2026-01,Suzuki,Jimny,,100
2026-02,Suzuki,Jimny,,85
2026-03,Suzuki,Jimny,1.5 4WD,35
2026-04,Suzuki,Jimny,,74
2026-05,Suzuki,Jimny,,96
2026-06,Suzuki,Jimny,,99
2026-07,Suzuki,Jimny,,77
2026-08,Suzuki,Jimny,,67
2026-09,Suzuki,Jimny,,104
2026-10,Suzuki,Jimny,,87
2026-11,Suzuki,Jimny,,73
2026-12,Suzuki,Jimny,1.5 4WD,65
2026-01,Suzuki,Fronx,,562
2026-02,Suzuki,Fronx,,215
2026-03,Suzuki,Fronx,,487
2026-04,Suzuki,Fronx,,351
2026-05,Suzuki,Fronx,1.5 GLX,496
2026-06,Suzuki,Fronx,,394
2026-07,Suzuki,Fronx,,293
2026-08,Suzuki,Fronx,,362
2026-09,Suzuki,Fronx,,596
2026-10,Suzuki,Fronx,,442
2026-11,Suzuki,Fronx,,519
2026-12,Suzuki,Fronx,,454
2026-01,Tesla,Model 3,,151
2026-02,Tesla,Model 3,,78
2026-03,Tesla,Model 3,,92
2026-04,Tesla,Model 3,,95
2026-05,Tesla,Model 3,,83
2026-06,Tesla,Model 3,,70
2026-07,Tesla,Model 3,,98
2026-08,Tesla,Model 3,,65
2026-09,Tesla,Model 3,,85
2026-10,Tesla,Model 3,,114
2026-11,Tesla,Model 3,Long Range AWD,115
2026-12,Tesla,Model 3,,110
2026-01,Tesla,Model Y,Performance,45
2026-02,Tesla,Model Y,,111
2026-03,Tesla,Model Y,,81
2026-04,Tesla,Model Y,,111
2026-05,Tesla,Model Y,,139
2026-06,Tesla,Model Y,Performance,138
2026-07,Tesla,Model Y,,102
2026-08,Tesla,Model Y,RWD,150
2026-09,Tesla,Model Y,,120
2026-10,Tesla,Model Y,,176
2026-11,Tesla,Model Y,Performance,117
2026-12,Tesla,Model Y,,160
2026-01,Toyota,Yaris Ativ,,4839
2026-02,Toyota,Yaris Ativ,1.2 Premium,6494
2026-03,Toyota,Yaris Ativ,,4738
2026-04,Toyota,Yaris Ativ,,4890
2026-05,Toyota,Yaris Ativ,,2801
2026-06,Toyota,Yaris Ativ,,3928
2026-07,Toyota,Yaris Ativ,1.2 Smart,5038
2026-08,Toyota,Yaris Ativ,,6737
2026-09,Toyota,Yaris Ativ,,5709
2026-10,Toyota,Yaris Ativ,,3943
2026-11,Toyota,Yaris Ativ,,4273
2026-12,Toyota,Yaris Ativ,,5412
2026-01,Toyota,Yaris,,6298
2026-02,Toyota,Yaris,,3749
2026-03,Toyota,Yaris,1.2 Sport,5767
2026-04,Toyota,Yaris,1.2 Premium,3370
2026-05,Toyota,Yaris,,5779
2026-06,Toyota,Yaris,,4911
2026-07,Toyota,Yaris,,1598
2026-08,Toyota,Yaris,1.2 Premium,5769
2026-09,Toyota,Yaris,,5617
2026-10,Toyota,Yaris,,4586
2026-11,Toyota,Yaris,,8279
2026-12,Toyota,Yaris,,3252
2026-01,Toyota,Corolla Altis,1.8 Sport,2597
2026-02,Toyota,Corolla Altis,,3168
2026-03,Toyota,Corolla Altis,1.8 HEV GR Sport,2379
2026-04,Toyota,Corolla Altis,,2086
2026-05,Toyota,Corolla Altis,,3844
2026-06,Toyota,Corolla Altis,,3651
2026-07,Toyota,Corolla Altis,,2991
2026-08,Toyota,Corolla Altis,1.8 HEV Smart,4192
2026-09,Toyota,Corolla Altis,,3696
2026-10,Toyota,Corolla Altis,,3224
2026-11,Toyota,Corolla Altis,,3490
2026-12,Toyota,Corolla Altis,,5074
2026-01,Toyota,Camry,,1048
2026-02,Toyota,Camry,2.5 HEV Premium Luxury,1368
2026-03,Toyota,Camry,,1716
2026-04,Toyota,Camry,,1360
2026-05,Toyota,Camry,,1165
2026-06,Toyota,Camry,2.5 HEV Premium Luxury,933
2026-07,Toyota,Camry,,1098
2026-08,Toyota,Camry,2.5 HEV Premium Luxury,1717
2026-09,Toyota,Camry,2.5 HEV Premium,1329
2026-10,Toyota,Camry,2.5 HEV Premium,931
2026-11,Toyota,Camry,2.5 HEV Premium,1377
2026-12,Toyota,Camry,,1175
2026-01,Toyota,Corolla Cross,,4246
2026-02,Toyota,Corolla Cross,1.8 HEV Premium,2742
2026-03,Toyota,Corolla Cross,,2794
